ID,Author,Year,Country,WHO,WHO2,Vaccine_Status,Mean_Age,male% total,Male_%_myocarditis,age_frequent_myocard,Age_Cat,Vaccine,Vaccine2,Total_N,N_vaccinated,N_infected,N_myocarditis,hospitalization,death,Interval_day,incidence,IRR_myocarditis,IRR_LL,IRR_UL,R_diff,R_diff_LL,R_diff_UL,Link,,,,,,,emdomyocardial biopsy,biopsy_confirm,,N_myocarditis_old
1,Mevorach,2021,Israel,Europe,Aanother,Vaccine,,49,91,16-19,Younger,Pfizer,mRNA,5000000,"5,000,000",,136,114,1,30,142,2.35,1.1,5.02,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2109730,,,,,,,2,0,,136
2,Witberg,2021,Israel,Europe,Aanother,Vaccine,44,48.8,94,16-29,Younger,Pfizer,mRNA,2500000,"2,500,000",,54,1,1,42,54,,,,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2110737,,,,,,,1,0,,54
3,Barda,2021,Israel,Europe,Aanother,Vaccine,38,52,90.9,>16,Adults,Pfizer,mRNA,884828,938812,,21,,,42,21,3.24,1.55,12.44,2.72,0.97,4.6,https://www.nejm.org/doi/full/10.1056/NEJMoa2110475,,,,,,,,,,21
4,Walter,2022,US,Americas,Americas,Vaccine,8,52,0,<18,Younger,Pfizer,mRNA,1518,"1,518",,,0,0,7,0,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2116298,,,,,,,,,,
5,Sahly,2021,US,Americas,Americas,Vaccine,51.4,52.6,0,>18,Adults,Moderna,mRNA,14287,15209,,,0,0,14,0,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2113017,,,,,,,,,,
6,Heath,2021,UK,Europe,Aanother,Vaccine,56,51.6,,>18,Adults,Novavax,Other,7569,7020,,0,1,0,28,1,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2107659,,,,,,,,,,0
7,Ali,2021,US,Americas,Americas,Vaccine,14.3,52,0,<18,Younger,Moderna,mRNA,2489,2486,,1,0,0,83,0,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2109522,,,,,,,,,,1*
8,Dunkle,2022,US and Mexico,Americas,Americas,Vaccine,47,52.3,0,>18,Adults,Novavax,Other,19714,19714,,0,0,0,90,0,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2116185,,,,,,,,,,0
9,Diaz,2022,US,Americas,Americas,Vaccine,57,41.1,75,>18,Adults,Pfizer/Moderna/JJ,mRNA,2000287,2000287,,20,19,0,,20,,,,,,,https://jamanetwork.com/journals/jama/fullarticle/2782900,,,,,,,,,,20
10,Simone,2021,US,Americas,Americas,Vaccine,49,46,100,>18,Adults,Pfizer /Moderna,mRNA,2392924,2392924,,15,0,0,10,15,2.7,1.4,4.8,,,,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2784800?resultClick=1,,,,,,,,,,15
11,Husby,2022,Denmark,Europe,Aanother,Vaccine,,,73,12-39 yo,Adults,Pfizer,mRNA,3482295,3482295,,48,28,1,28,48,1.34,0.9,2,,,,https://www.bmj.com/content/375/bmj-2021-068665,,,,,,,,,,48
12,Husby,2022,Denmark,Europe,Aanother,Vaccine,,,,,,Moderna,mRNA,498814,498814,,21,8,0,28,21,3.92,2.3,6.68,,,,,,,,,,,,,,21
13,Patone,2022,UK,Europe,Aanother,Vaccine,55.4,34.9,100,,,AstraZeneca,Other,20615911,20615911,,226,,,28,142,1.29,1.05,1.58,,,,https://www.nature.com/articles/s41591-021-01630-0,,,,,,,,,,
14,Patone,2022,UK,Europe,Aanother,Vaccine,55.5,32.6,,16-40,,Pfizer,mRNA,16993389,16993389,,158,,,28,94,1.31,1.03,1.66,,,,https://www.nature.com/articles/s41591-021-01630-0,,,,,,,,,,
15,Patone,2022,UK,Europe,Aanother,Vaccine,39.6,26.4,,16-40,,Moderna,mRNA,1006191,1006191,,9,,,28,9,2.97,1.34,6.58,,,,https://www.nature.com/articles/s41591-021-01630-0,,,,,,,,,,
