ID,Author,Year,Country,WHO,WHO2,Vaccine_Status,Mean_Age,male% total,Male_%_myocarditis,age_frequent_myocard,Age_Cat,Vaccine,Vaccine2,Total_N,N_vaccinated,N_infected,N_myocarditis,hospitalization,death,Interval_day,incidence,IRR_myocarditis,IRR_LL,IRR_UL,R_diff,R_diff_LL,R_diff_UL,Link,,,,,,,emdomyocardial biopsy,biopsy_confirm,,N_myocarditis
1,Mevorach,2021,Israel,Europe,Aanother,Vaccine,,49,91,16-19,Younger,Pfizer,mRNA,5000000,"5,000,000",,136,114,1,30,142,2.35,1.1,5.02,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2109730,,,,,,,2,0,,136
2,Witberg,2021,Israel,Europe,Aanother,Vaccine,44,48.8,94,16-29,Younger,Pfizer,mRNA,2500000,"2,500,000",,54,1,1,42,54,,,,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2110737,,,,,,,1,0,,54
3,Barda,2021,Israel,Europe,Aanother,Vaccine,38,52,90.9,>16,Adults,Pfizer,mRNA,884828,938812,,21,,,42,21,3.24,1.55,12.44,2.72,0.97,4.6,https://www.nejm.org/doi/full/10.1056/NEJMoa2110475,,,,,,,,,,21
4,Walter,2022,US,Americas,Americas,Vaccine,8,52,0,<18,Younger,Pfizer,mRNA,1518,"1,518",,,0,0,7,0,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2116298,,,,,,,,,,
5,Sahly,2021,US,Americas,Americas,Vaccine,51.4,52.6,0,>18,Adults,Moderna,mRNA,14287,15209,,,0,0,14,0,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2113017,,,,,,,,,,
6,Heath,2021,UK,Europe,Aanother,Vaccine,56,51.6,,>18,Adults,Novavax,Other,7569,7020,,0,1,0,28,1,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2107659,,,,,,,,,,0
7,Ali,2021,US,Americas,Americas,Vaccine,14.3,52,0,<18,Younger,Moderna,mRNA,2489,2486,,1,0,0,83,0,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2109522,,,,,,,,,,1*
8,Dunkle,2022,US and Mexico,Americas,Americas,Vaccine,47,52.3,0,>18,Adults,Novavax,Other,19714,19714,,0,0,0,90,0,0,0,0,,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2116185,,,,,,,,,,0
9,Diaz,2022,US,Americas,Americas,Vaccine,57,41.1,75,>18,Adults,Pfizer/Moderna/JJ,mRNA,2000287,2000287,,20,19,0,,20,,,,,,,https://jamanetwork.com/journals/jama/fullarticle/2782900,,,,,,,,,,20
10,Simone,2021,US,Americas,Americas,Vaccine,49,46,100,>18,Adults,Pfizer /Moderna,mRNA,2392924,2392924,,15,0,0,10,15,2.7,1.4,4.8,,,,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2784800?resultClick=1,,,,,,,,,,15
11,Husby,2022,Denmark,Europe,Aanother,Vaccine,,,73,12-39 yo,Adults,Pfizer,mRNA,3482295,3482295,,48,28,1,28,48,1.34,0.9,2,,,,https://www.bmj.com/content/375/bmj-2021-068665,,,,,,,,,,48
12,Husby,2022,Denmark,Europe,Aanother,Vaccine,,,,,,Moderna,mRNA,498814,498814,,21,8,0,28,21,3.92,2.3,6.68,,,,,,,,,,,,,,21
13,Patone,2022,UK,Europe,Aanother,Vaccine,55.4,34.9,100,,,AstraZeneca,Other,20615911,20615911,,226,,,28,142,1.29,1.05,1.58,,,,https://www.nature.com/articles/s41591-021-01630-0,,,,,,,,,,
14,Patone,2022,UK,Europe,Aanother,Vaccine,55.5,32.6,,16-40,,Pfizer,mRNA,16993389,16993389,,158,,,28,94,1.31,1.03,1.66,,,,https://www.nature.com/articles/s41591-021-01630-0,,,,,,,,,,
15,Patone,2022,UK,Europe,Aanother,Vaccine,39.6,26.4,,16-40,,Moderna,mRNA,1006191,1006191,,9,,,28,9,2.97,1.34,6.58,,,,https://www.nature.com/articles/s41591-021-01630-0,,,,,,,,,,
16,Huang,2020,China,Asia,Aanother,SARS-CoV-2 Infection,38,38,38,>18,Adults,Prior Infection,Prior Infection,26,,26,15,,,50,15,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7214335/,,,,,,,,,,
17,Lagana,2021,Italy,Europe,Aanother,SARS-CoV-2 Infection,70.96,48,41.7,76,adults,Prior Infection,Prior Infection,1169,,1169,12,1169,3,,12,,,,,,,https://pubmed.ncbi.nlm.nih.gov/33663062/,,,,,,,,,,
18,Boehmer,2021,US,Americas,Americas,SARS-CoV-2 Infection,54,59.3,42,,,Prior Infection,Prior Infection,1452773,,1452773,5069,,,30,5069,15.7,14.1,17.2,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8422872/,,,,,,,,,,
19,Murk,2020,US,Americas,Americas,SARS-CoV-2 Infection,65,42.7,,,,Prior Infection,Prior Infection,70288,,70288,,,,30,,8.17,3.58,18.62,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7774475/,,,,,,,,,,
20,Kunal,2020,India,Asia,Aanother,SARS-CoV-2 Infection,51.2,64.8,50,>18,Adults,Prior Infection,Prior Infection,108,,108,3,,1,7,3,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7609238/,,,,,,,,0,,
21,Deng,2020,China,Asia,Aanother,SARS-CoV-2 Infection,65,50.9,71.4,>18,Adults,Prior Infection,Prior Infection,112,,112,14,112,13,66,14,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7141178/,,,,,,,,,,
22,Daniels,2021,US,Americas,Americas,SARS-CoV-2 Infection,,66.9,72.9,,,Prior Infection,Prior Infection,2810,,2810,37,,0,77,37,,,,,,,https://jamanetwork.com/journals/jamacardiology/fullarticle/2780548?resultClick=1,,,,,,,,0,,
23,Martinez,2021,US,Americas,Americas,SARS-CoV-2 Infection,25,98.5,,,,Prior Infection,Prior Infection,789,,789,3,0,0,19,3,,,,,,,https://jamanetwork.com/journals/jamacardiology/fullarticle/2777308?resultClick=1,,,,,,,,,,
24,Buckley,2021,US,Americas,Americas,SARS-CoV-2 Infection,48.2,43,43.5,,,Prior Infection,Prior Infection,718365,,718365,35820,,,,35820,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8646627/,,,,,,,,,,
25,Barda,2021,Israel,Europe,Aanother,SARS-CoV-2 Infection,34,46,,>18,Adults,Prior Infection,Prior Infection,233392,,"233,392","93,812",,,,,18.28,3.95,25.12,10.96,5.57,15.8,https://www.nejm.org/doi/full/10.1056/NEJMoa2110475,,,,,,,,,,
